timestamp,c_sht,h_sht,c_bme,p_bme,h_bme,c_lm,lux_diode
1713513681,21.58999,48.08575,20.04,1000.66,40.42,22.88624,73.96811
1713513691,21.56329,48.15137,20.03,1000.68,40.47,22.96681,73.9437
1713513701,21.58999,48.08575,20.03,1000.73,40.32,23.04738,73.89487
1713513711,21.58999,48.09644,20.03,1000.75,40.49,22.96681,73.74838
1713513721,21.60601,48.14679,20.02,1000.77,40.55,22.88624,73.74838
1713513731,21.58999,48.15595,20.02,1000.79,40.51,22.88624,73.65073
1713513741,21.58999,48.16968,20.02,1000.71,40.38,22.96681,72.67414
1713513751,21.58999,48.09644,20.02,1000.71,40.45,22.88624,72.55207
1713513761,21.57664,48.13153,20.02,1000.60,40.54,22.88624,72.67414
1713513771,21.57664,48.08575,20.01,1000.70,40.43,23.04738,72.6009
1713513781,21.57664,48.13153,20.02,1000.74,40.38,22.88624,72.52766
1713513791,21.57664,47.98962,20.02,1000.74,40.41,22.88624,72.50324
1713513801,21.57664,48.00031,20.02,1000.77,40.41,22.88624,72.47883
1713513811,21.58999,48.03998,20.03,1000.78,40.48,22.96681,72.52766
1713513821,21.57664,48.07202,20.02,1000.72,40.46,23.04738,72.03937
1713513831,21.57664,48.14527,20.03,1000.70,40.54,23.04738,73.16243
1713513841,21.56329,48.1651,20.03,1000.78,40.51,23.04738,73.13802
1713513851,21.58999,48.19257,20.03,1000.78,40.53,23.04738,73.16243
1713513861,21.60601,48.19562,20.03,1000.79,40.56,22.96681,73.16243
1713513871,21.58999,48.22919,20.05,1000.84,40.45,22.96681,73.16243
1713513881,21.60601,48.2887,20.04,1000.80,40.55,22.96681,73.1136
1713513891,21.60601,48.38483,20.04,1000.80,40.36,22.96681,73.06477
1713513901,21.58999,48.50233,20.04,1000.72,40.49,22.88624,72.96712
1713513911,21.63271,48.54048,20.06,1000.77,40.58,22.96681,72.86946
1713513921,21.60601,48.54963,20.06,1000.77,40.62,23.04738,72.7718
1713513931,21.61936,48.63661,20.06,1000.73,40.70,22.88624,72.69855
1713513941,21.60601,48.64424,20.05,1000.77,40.78,23.04738,72.64973
1713513951,21.60601,48.47944,20.06,1000.77,40.68,23.28908,72.47883
1713513961,21.61936,48.43366,20.05,1000.76,40.72,22.96681,72.35676
1713513971,21.58999,48.36958,20.06,1000.75,40.65,22.96681,72.23469
1713513981,21.61936,48.27954,20.05,1000.74,40.60,23.04738,72.13703
1713513991,21.61936,48.24292,20.06,1000.75,40.58,22.96681,72.01495
1713514001,21.60601,48.31464,20.06,1000.75,40.65,22.80568,71.9173
1713514011,21.61936,48.25666,20.05,1000.73,40.64,22.88624,71.79523
1713514021,21.61936,48.18341,20.05,1000.68,40.52,22.88624,71.7464
1713514031,21.61936,48.19715,20.05,1000.74,40.47,22.80568,71.72198
1713514041,21.60601,48.17273,20.04,1000.75,40.51,22.96681,71.62432
1713514051,21.63271,48.2826,20.04,1000.70,40.59,22.96681,71.45342
1713514061,21.63271,48.30548,20.03,1000.64,40.56,22.88624,71.38018
1713514071,21.61936,48.24292,20.03,1000.75,40.66,22.80568,71.30694
1713514081,21.60601,48.14679,20.03,1000.73,40.72,22.88624,71.18486
1713514091,21.63271,48.12695,20.02,1000.77,40.55,22.96681,71.11162
1713514101,21.61936,48.05371,20.01,1000.76,40.60,22.80568,71.03838
1713514111,21.60601,48.05066,20.02,1000.72,40.48,22.96681,70.94072
1713514121,21.58999,48.02625,20.01,1000.67,40.34,22.88624,70.94072
1713514131,21.60601,48.05066,20.0,1000.71,40.55,22.80568,70.91631
1713514141,21.61936,48.05371,20.0,1000.63,40.45,22.80568,70.84306
1713514151,21.58999,48.07355,20.0,1000.71,40.66,22.72511,70.81864
1713514161,21.57664,48.02319,19.99,1000.69,40.63,22.80568,70.91631
1713514171,21.60601,48.09949,19.98,1000.73,40.65,22.72511,70.84306
1713514181,21.56329,48.0354,19.99,1000.61,40.48,22.88624,70.94072
1713514191,21.57664,48.02319,19.99,1000.71,40.40,22.80568,70.94072
1713514201,21.58999,47.96674,19.99,1000.65,40.44,22.72511,70.98955
1713514211,21.60601,47.93164,19.98,1000.65,40.50,22.80568,71.03838
1713514221,21.56329,47.93927,19.98,1000.65,40.63,22.72511,71.06279
1713514231,21.56329,47.92706,19.97,1000.63,40.58,22.72511,71.0872
1713514241,21.56329,47.953,19.97,1000.60,40.49,22.72511,71.13603
1713514251,21.57664,47.96368,19.97,1000.68,40.49,22.72511,71.16045
1713514261,21.58999,47.93011,19.96,1000.67,40.54,22.72511,71.2581
1713514271,21.56329,47.99878,19.96,1000.63,40.62,22.72511,71.30694
1713514281,21.60601,47.95758,19.95,1000.73,40.56,22.72511,71.33135
1713514291,21.57664,47.97742,19.95,1000.62,40.44,22.64454,71.38018
1713514301,21.54726,48.05829,19.95,1000.68,40.55,22.72511,71.33135
1713514311,21.58999,48.09644,19.95,1000.62,40.66,22.64454,71.35577
1713514321,21.57664,48.09491,19.94,1000.63,40.63,22.72511,71.38018
1713514331,21.58999,48.04913,19.94,1000.64,40.70,22.80568,71.30694
1713514341,21.56329,48.05829,19.94,1000.68,40.54,22.72511,71.2581
1713514351,21.58999,48.03998,19.94,1000.64,40.47,22.64454,71.18486
1713514361,21.54726,48.06744,19.95,1000.65,40.66,22.64454,71.13603
1713514371,21.57664,48.08575,19.95,1000.70,40.77,22.64454,71.03838
1713514381,21.56329,48.06897,19.94,1000.69,40.71,22.64454,70.94072
